Name	Artifact	Url	Version	Licenses
AntLR Parser Generator	antlr:antlr	http://www.antlr.org/	2.7.7	BSD License
Logback Classic Module	ch.qos.logback:logback-classic	http://logback.qos.ch/logback-classic	1.2.3	Eclipse Public License - v 1.0;GNU Lesser General Public License
Logback Core Module	ch.qos.logback:logback-core	http://logback.qos.ch/logback-core	1.2.3	Eclipse Public License - v 1.0;GNU Lesser General Public License
ClassMate	com.fasterxml:classmate	https://github.com/FasterXML/java-classmate	1.5.1	Apache License 2.0
Jackson-annotations	com.fasterxml.jackson.core:jackson-annotations	http://github.com/FasterXML/jackson	2.11.4	Apache License 2.0
Jackson-core	com.fasterxml.jackson.core:jackson-core	https://github.com/FasterXML/jackson-core	2.11.4	Apache License 2.0
jackson-databind	com.fasterxml.jackson.core:jackson-databind	http://github.com/FasterXML/jackson	2.11.4	Apache License 2.0
Jackson datatype: jdk8	com.fasterxml.jackson.datatype:jackson-datatype-jdk8	https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jdk8	2.11.4	Apache License 2.0
Jackson datatype: JSR310	com.fasterxml.jackson.datatype:jackson-datatype-jsr310	https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jsr310	2.11.4	Apache License 2.0
Jackson-JAXRS-base	com.fasterxml.jackson.jaxrs:jackson-jaxrs-base	http://github.com/FasterXML/jackson-jaxrs-providers/jackson-jaxrs-base	2.11.4	Apache License 2.0
Jackson-JAXRS-JSON	com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider	http://github.com/FasterXML/jackson-jaxrs-providers/jackson-jaxrs-json-provider	2.11.4	Apache License 2.0
Jackson module: JAXB Annotations	com.fasterxml.jackson.module:jackson-module-jaxb-annotations	https://github.com/FasterXML/jackson-modules-base	2.11.4	Apache License 2.0
Jackson-module-parameter-names	com.fasterxml.jackson.module:jackson-module-parameter-names	https://github.com/FasterXML/jackson-modules-java8/jackson-module-parameter-names	2.11.4	Apache License 2.0
